=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.13 22:14:33 =~=~=~=~=~=~=~=~=~=~=~=
34494, 21459793
559620
1458444
52524, 21458720
52539, 21458354
52554, 21458522
52569, 21458522
52584, 21458408
52599, 21458420
52614, 21459620
52629, 21459386
52644, 21459386
LDC16xx registers dump:
DATA_MSB_CH0       (0x00) : 0x0000
DATA_LSB_CH0       (0x01) : 0x0000
DATA_MSB_CH1       (0x02) : 0x0000
DATA_LSB_CH1       (0x03) : 0x0000
DATA_MSB_CH2       (0x04) : 0x0000
DATA_LSB_CH2       (0x05) : 0x0000
DATA_MSB_CH3       (0x06) : 0x0000
DATA_LSB_CH3       (0x07) : 0x0000
RCOUNT_CH0         (0x08) : 0xDA9E
RCOUNT_CH1         (0x09) : 0xDA9E
RCOUNT_CH2         (0x0A) : 0xDA9E
RCOUNT_CH3         (0x0B) : 0xDA9E
OFFSET_CH0         (0x0C) : 0x0000
OFFSET_CH1         (0x0D) : 0x0000
OFFSET_CH2         (0x0E) : 0x0000
OFFSET_CH3         (0x0F) : 0x0000
SETTLECOUNT_CH0    (0x10) : 0x000E
SETTLECOUNT_CH1    (0x11) : 0x000E
SETTLECOUNT_CH2    (0x12) : 0x000E
SETTLECOUNT_CH3    (0x13) : 0x000E
CLOCK_DIVIDERS_CH0 (0x14) : 0x1001
CLOCK_DIVIDERS_CH1 (0x15) : 0x1001
CLOCK_DIVIDERS_CH2 (0x16) : 0x1001
CLOCK_DIVIDERS_CH3 (0x17) : 0x1001
STATUS             (0x18) : 0x0008
ERROR_CONFIG       (0x19) : 0x0000
CONFIG             (0x1A) : 0x1400
MUX_CONFIG         (0x1B) : 0x020D
RESET_DEV          (0x1C) : 0x0000
DRIVE_CURRENT_CH0  (0x1D) : 0xC600
DRIVE_CURRENT_CH1  (0x1E) : 0xC000
DRIVE_CURRENT_CH2  (0x1F) : 0xC000
DRIVE_CURRENT_CH3  (0x20) : 0xC000
MANUFACTURER_ID    (0x21) : 0x5449
DEVICE_ID          (0x22) : 0x3055
113, 21459020
129, 21458510
144, 21458510
159, 21459308
174, 21458498
189, 21458486
204, 21459242
219, 21459242
234, 21458133
249, 21458822
264, 21458894
279, 21458247
294, 21458247
309, 21458984
324, 21458546
339, 21458768
354, 21458330
369, 21458330
384, 21459206
399, 21458594
414, 21458318
429, 21458318
444, 21458384
459, 21458882
474, 21459020
489, 21459847
504, 21459847
519, 21460057
534, 21460771
549, 21460645
564, 21460921
579, 21460921
594, 21460807
609, 21461892
624, 21461544
639, 21459955
654, 21459955
669, 21460465
