x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA1_uH,DATA2_uH,DATA3_uH,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz
273,23815.531899005175,23815.573899000883,6.177913728203854,0.040751806700190955,Infinity,Infinity,21801802,268435455,0,0,3.5248630002140997,43.39999984,0,0
274,0.011500000953674316,0.011500000953674316,6.185669413,0.040751806700190955,Infinity,Infinity,21788130,268435455,0,0,3.522652544081211,43.39999984,0,0
275,0.004000008,0.004000008,6.185669413,0.040751806700190955,Infinity,Infinity,21788130,268435455,0,0,3.522652544081211,43.39999984,0,0
276,0.003199995,0.003199995,6.185669413,0.040751806700190955,Infinity,Infinity,21788130,268435455,0,0,3.522652544081211,43.39999984,0,0
277,0.003100991,0.003100991,6.185669413,0.040751806700190955,Infinity,Infinity,21788130,268435455,0,0,3.522652544081211,43.39999984,0,0
278,0.003000021,0.003000021,6.185669413,0.040751806700190955,Infinity,Infinity,21788130,268435455,0,0,3.522652544081211,43.39999984,0,0
279,0.002899975,0.002899975,6.185669413,0.040751806700190955,Infinity,Infinity,21788130,268435455,0,0,3.522652544081211,43.39999984,0,0
280,20.66100001335144,20.66100001335144,6.185669413,0.040751806700190955,Infinity,Infinity,21788130,268435455,0,0,3.522652544081211,43.39999984,0,0
281,0.011200010776519775,0.011200010776519775,6.185669413,0.040751806700190955,Infinity,Infinity,21788130,268435455,0,0,3.522652544081211,43.39999984,0,0
282,0.004000008,0.004000008,6.185669413,0.040751806700190955,Infinity,Infinity,21788130,268435455,0,0,3.522652544081211,43.39999984,0,0
283,0.003099948,0.003099948,6.185857927756012,0.040751806700190955,Infinity,Infinity,21787798,268435455,0,0,3.522598867118359,43.39999984,0,0
284,0.003200024,0.003200024,6.185857927756012,0.040751806700190955,Infinity,Infinity,21787798,268435455,0,0,3.522598867118359,43.39999984,0,0
285,0.003200024,0.003200024,6.185857927756012,0.040751806700190955,Infinity,Infinity,21787798,268435455,0,0,3.522598867118359,43.39999984,0,0
286,0.002998978,0.002998978,6.185857927756012,0.040751806700190955,Infinity,Infinity,21787798,268435455,0,0,3.522598867118359,43.39999984,0,0
287,0.002999991,0.002999991,6.185857927756012,0.040751806700190955,Infinity,Infinity,21787798,268435455,0,0,3.522598867118359,43.39999984,0,0
288,20.68400102853775,20.68400102853775,6.185857927756012,0.040751806700190955,Infinity,Infinity,21787798,268435455,0,0,3.522598867118359,43.39999984,0,0
289,0.011799991130828857,0.011799991130828857,6.185857927756012,0.040751806700190955,Infinity,Infinity,21787798,268435455,0,0,3.522598867118359,43.39999984,0,0
290,0.004099995,0.004099995,6.185857927756012,0.040751806700190955,Infinity,Infinity,21787798,268435455,0,0,3.522598867118359,43.39999984,0,0
291,0.002799988,0.002799988,6.185857927756012,0.040751806700190955,Infinity,Infinity,21787798,268435455,0,0,3.522598867118359,43.39999984,0,0
292,0.002899021,0.002899021,6.185881776589585,0.040751806700190955,Infinity,Infinity,21787756,268435455,0,0,3.5225920766592025,43.39999984,0,0
293,0.002999991,0.002999991,6.185881776589585,0.040751806700190955,Infinity,Infinity,21787756,268435455,0,0,3.5225920766592025,43.39999984,0,0
294,0.002500981,0.002500981,6.185881776589585,0.040751806700190955,Infinity,Infinity,21787756,268435455,0,0,3.5225920766592025,43.39999984,0,0
295,0.002499014,0.002499014,6.185881776589585,0.040751806700190955,Infinity,Infinity,21787756,268435455,0,0,3.5225920766592025,43.39999984,0,0
296,10.369901,10.369901,6.185881776589585,0.040751806700190955,Infinity,Infinity,21787756,268435455,0,0,3.5225920766592025,43.39999984,0,0
297,0.010198980569839478,0.010198980569839478,6.185881776589585,0.040751806700190955,Infinity,Infinity,21787756,268435455,0,0,3.5225920766592025,43.39999984,0,0
298,0.004600018,0.004600018,6.185881776589585,0.040751806700190955,Infinity,Infinity,21787756,268435455,0,0,3.5225920766592025,43.39999984,0,0
299,18.03780099749565,18.03780099749565,6.185881776589585,0.040751806700190955,Infinity,Infinity,21787756,268435455,0,0,3.5225920766592025,43.39999984,0,0
300,0.011400014162063599,0.011400014162063599,6.186274734371322,0.040751806700190955,Infinity,Infinity,21787064,268435455,0,0,3.522480195760727,43.39999984,0,0
301,0.002998978,0.002998978,6.186274734371322,0.040751806700190955,Infinity,Infinity,21787064,268435455,0,0,3.522480195760727,43.39999984,0,0
302,0.002301008,0.002301008,6.186274734371322,0.040751806700190955,Infinity,Infinity,21787064,268435455,0,0,3.522480195760727,43.39999984,0,0
303,0.002000004,0.002000004,6.186274734371322,0.040751806700190955,Infinity,Infinity,21787064,268435455,0,0,3.522480195760727,43.39999984,0,0
304,0.002099007,0.002099007,6.186274734371322,0.040751806700190955,Infinity,Infinity,21787064,268435455,0,0,3.522480195760727,43.39999984,0,0
305,0.002000988,0.002000988,6.186274734371322,0.040751806700190955,Infinity,Infinity,21787064,268435455,0,0,3.522480195760727,43.39999984,0,0
306,0.002199024,0.002199024,6.186274734371322,0.040751806700190955,Infinity,Infinity,21787064,268435455,0,0,3.522480195760727,43.39999984,0,0
307,12.659099966287613,12.659099966287613,6.186274734371322,0.040751806700190955,Infinity,Infinity,21787064,268435455,0,0,3.522480195760727,43.39999984,0,0
308,0.013401001691818237,0.013401001691818237,6.186274734371322,0.040751806700190955,Infinity,Infinity,21787064,268435455,0,0,3.522480195760727,43.39999984,0,0
309,0.004600018,0.004600018,6.1865495999289095,0.040751806700190955,Infinity,Infinity,21786580,268435455,0,0,3.5224019438028336,43.39999984,0,0
310,0.003999978,0.003999978,6.1865495999289095,0.040751806700190955,Infinity,Infinity,21786580,268435455,0,0,3.5224019438028336,43.39999984,0,0
311,18.58670002222061,18.58670002222061,6.1865495999289095,0.040751806700190955,Infinity,Infinity,21786580,268435455,0,0,3.5224019438028336,43.39999984,0,0
312,0.012598991394042969,0.012598991394042969,6.1865495999289095,0.040751806700190955,Infinity,Infinity,21786580,268435455,0,0,3.5224019438028336,43.39999984,0,0
313,0.004600018,0.004600018,6.1865495999289095,0.040751806700190955,Infinity,Infinity,21786580,268435455,0,0,3.5224019438028336,43.39999984,0,0
314,0.003299981,0.003299981,6.1865495999289095,0.040751806700190955,Infinity,Infinity,21786580,268435455,0,0,3.5224019438028336,43.39999984,0,0
315,0.003001004,0.003001004,6.1865495999289095,0.040751806700190955,Infinity,Infinity,21786580,268435455,0,0,3.5224019438028336,43.39999984,0,0
316,0.003100008,0.003100008,6.1865495999289095,0.040751806700190955,Infinity,Infinity,21786580,268435455,0,0,3.5224019438028336,43.39999984,0,0
317,0.002999991,0.002999991,6.186608664340616,0.040751806700190955,Infinity,Infinity,21786476,268435455,0,0,3.5223851293325423,43.39999984,0,0
318,0.003098994,0.003098994,6.186608664340616,0.040751806700190955,Infinity,Infinity,21786476,268435455,0,0,3.5223851293325423,43.39999984,0,0
319,20.46900099515915,20.46900099515915,6.186608664340616,0.040751806700190955,Infinity,Infinity,21786476,268435455,0,0,3.5223851293325423,43.39999984,0,0
320,0.011900007724761963,0.011900007724761963,6.186608664340616,0.040751806700190955,Infinity,Infinity,21786476,268435455,0,0,3.5223851293325423,43.39999984,0,0
321,0.004698992,0.004698992,6.186608664340616,0.040751806700190955,Infinity,Infinity,21786476,268435455,0,0,3.5223851293325423,43.39999984,0,0
322,0.003400981,0.003400981,6.186608664340616,0.040751806700190955,Infinity,Infinity,21786476,268435455,0,0,3.5223851293325423,43.39999984,0,0
323,0.003400028,0.003400028,6.186608664340616,0.040751806700190955,Infinity,Infinity,21786476,268435455,0,0,3.5223851293325423,43.39999984,0,0
324,0.003099978,0.003099978,6.186608664340616,0.040751806700190955,Infinity,Infinity,21786476,268435455,0,0,3.5223851293325423,43.39999984,0,0
325,0.003100008,0.003100008,6.186608664340616,0.040751806700190955,Infinity,Infinity,21786476,268435455,0,0,3.5223851293325423,43.39999984,0,0
326,0.002899021,0.002899021,6.186378658657769,0.040751806700190955,Infinity,Infinity,21786881,268435455,0,0,3.5224506087601184,43.39999984,0,0
327,20.84969997406006,20.84969997406006,6.186378658657769,0.040751806700190955,Infinity,Infinity,21786881,268435455,0,0,3.5224506087601184,43.39999984,0,0
328,0.010701030492782593,0.010701030492782593,6.186378658657769,0.040751806700190955,Infinity,Infinity,21786881,268435455,0,0,3.5224506087601184,43.39999984,0,0
329,0.004000008,0.004000008,6.186378658657769,0.040751806700190955,Infinity,Infinity,21786881,268435455,0,0,3.5224506087601184,43.39999984,0,0
330,0.005198956,0.005198956,6.186378658657769,0.040751806700190955,Infinity,Infinity,21786881,268435455,0,0,3.5224506087601184,43.39999984,0,0
331,0.008901,0.008901,6.186378658657769,0.040751806700190955,Infinity,Infinity,21786881,268435455,0,0,3.5224506087601184,43.39999984,0,0
332,0.003200024,0.003200024,6.186378658657769,0.040751806700190955,Infinity,Infinity,21786881,268435455,0,0,3.5224506087601184,43.39999984,0,0
333,0.003299981,0.003299981,6.186378658657769,0.040751806700190955,Infinity,Infinity,21786881,268435455,0,0,3.5224506087601184,43.39999984,0,0
334,0.003098994,0.003098994,6.186190120356346,0.040751806700190955,Infinity,Infinity,21787213,268435455,0,0,3.522504285722971,43.39999984,0,0
335,20.588101029396057,20.588101029396057,6.186190120356346,0.040751806700190955,Infinity,Infinity,21787213,268435455,0,0,3.522504285722971,43.39999984,0,0
336,0.013498992,0.013498992,6.186190120356346,0.040751806700190955,Infinity,Infinity,21787213,268435455,0,0,3.522504285722971,43.39999984,0,0
337,0.004601002,0.004601002,6.186190120356346,0.040751806700190955,Infinity,Infinity,21787213,268435455,0,0,3.522504285722971,43.39999984,0,0
338,0.004000008,0.004000008,6.186190120356346,0.040751806700190955,Infinity,Infinity,21787213,268435455,0,0,3.522504285722971,43.39999984,0,0
339,0.003600001,0.003600001,6.186190120356346,0.040751806700190955,Infinity,Infinity,21787213,268435455,0,0,3.522504285722971,43.39999984,0,0
340,0.003699988,0.003699988,6.186190120356346,0.040751806700190955,Infinity,Infinity,21787213,268435455,0,0,3.522504285722971,43.39999984,0,0
341,0.003399014,0.003399014,6.186190120356346,0.040751806700190955,Infinity,Infinity,21787213,268435455,0,0,3.522504285722971,43.39999984,0,0
342,0.003799975,0.003799975,6.186190120356346,0.040751806700190955,Infinity,Infinity,21787213,268435455,0,0,3.522504285722971,43.39999984,0,0
343,20.627600014209747,20.627600014209747,6.186643876219265,0.040751806700190955,Infinity,Infinity,21786414,268435455,0,0,3.5223751053214074,43.39999984,0,0
344,0.011900007724761963,0.011900007724761963,6.186643876219265,0.040751806700190955,Infinity,Infinity,21786414,268435455,0,0,3.5223751053214074,43.39999984,0,0
345,0.003499985,0.003499985,6.186643876219265,0.040751806700190955,Infinity,Infinity,21786414,268435455,0,0,3.5223751053214074,43.39999984,0,0
346,0.002301008,0.002301008,6.186643876219265,0.040751806700190955,Infinity,Infinity,21786414,268435455,0,0,3.5223751053214074,43.39999984,0,0
347,0.002198994,0.002198994,6.186643876219265,0.040751806700190955,Infinity,Infinity,21786414,268435455,0,0,3.5223751053214074,43.39999984,0,0
348,0.002200991,0.002200991,6.186643876219265,0.040751806700190955,Infinity,Infinity,21786414,268435455,0,0,3.5223751053214074,43.39999984,0,0
349,0.008199006,0.008199006,6.186643876219265,0.040751806700190955,Infinity,Infinity,21786414,268435455,0,0,3.5223751053214074,43.39999984,0,0
350,0.002001017,0.002001017,6.186643876219265,0.040751806700190955,Infinity,Infinity,21786414,268435455,0,0,3.5223751053214074,43.39999984,0,0
351,20.71270000934601,20.71270000934601,6.186131061938368,0.040751806700190955,Infinity,Infinity,21787317,268435455,0,0,3.522521100193262,43.39999984,0,0
352,0.015799969,0.015799969,6.186131061938368,0.040751806700190955,Infinity,Infinity,21787317,268435455,0,0,3.522521100193262,43.39999984,0,0
353,0.005899012,0.005899012,6.186131061938368,0.040751806700190955,Infinity,Infinity,21787317,268435455,0,0,3.522521100193262,43.39999984,0,0
354,0.004000992,0.004000992,6.186131061938368,0.040751806700190955,Infinity,Infinity,21787317,268435455,0,0,3.522521100193262,43.39999984,0,0
355,0.004099995,0.004099995,6.186131061938368,0.040751806700190955,Infinity,Infinity,21787317,268435455,0,0,3.522521100193262,43.39999984,0,0
356,0.004700035,0.004700035,6.186131061938368,0.040751806700190955,Infinity,Infinity,21787317,268435455,0,0,3.522521100193262,43.39999984,0,0
357,0.030899972,0.030899972,6.186131061938368,0.040751806700190955,Infinity,Infinity,21787317,268435455,0,0,3.522521100193262,43.39999984,0,0
358,0.005899012,0.005899012,6.186131061938368,0.040751806700190955,Infinity,Infinity,21787317,268435455,0,0,3.522521100193262,43.39999984,0,0
359,20.597699999809265,20.597699999809265,6.186131061938368,0.040751806700190955,Infinity,Infinity,21787317,268435455,0,0,3.522521100193262,43.39999984,0,0
360,0.013401001691818237,0.013401001691818237,6.186579132029032,0.040751806700190955,Infinity,Infinity,21786528,268435455,0,0,3.522393536567688,43.39999984,0,0
361,0.005398989,0.005398989,6.186579132029032,0.040751806700190955,Infinity,Infinity,21786528,268435455,0,0,3.522393536567688,43.39999984,0,0
362,0.004501015,0.004501015,6.186579132029032,0.040751806700190955,Infinity,Infinity,21786528,268435455,0,0,3.522393536567688,43.39999984,0,0
363,0.004399985,0.004399985,6.186579132029032,0.040751806700190955,Infinity,Infinity,21786528,268435455,0,0,3.522393536567688,43.39999984,0,0
364,0.004000008,0.004000008,6.186579132029032,0.040751806700190955,Infinity,Infinity,21786528,268435455,0,0,3.522393536567688,43.39999984,0,0
365,0.003999978,0.003999978,6.186579132029032,0.040751806700190955,Infinity,Infinity,21786528,268435455,0,0,3.522393536567688,43.39999984,0,0
366,0.003500015,0.003500015,6.186579132029032,0.040751806700190955,Infinity,Infinity,21786528,268435455,0,0,3.522393536567688,43.39999984,0,0
367,20.754099994897842,20.754099994897842,6.186579132029032,0.040751806700190955,Infinity,Infinity,21786528,268435455,0,0,3.522393536567688,43.39999984,0,0
368,0.015500009059906006,0.015500009059906006,6.186492808023012,0.040751806700190955,Infinity,Infinity,21786680,268435455,0,0,3.522418111562729,43.39999984,0,0
369,0.005699009,0.005699009,6.186492808023012,0.040751806700190955,Infinity,Infinity,21786680,268435455,0,0,3.522418111562729,43.39999984,0,0
370,0.004899979,0.004899979,6.186492808023012,0.040751806700190955,Infinity,Infinity,21786680,268435455,0,0,3.522418111562729,43.39999984,0,0
371,0.004501015,0.004501015,6.186492808023012,0.040751806700190955,Infinity,Infinity,21786680,268435455,0,0,3.522418111562729,43.39999984,0,0
372,0.004799992,0.004799992,6.186492808023012,0.040751806700190955,Infinity,Infinity,21786680,268435455,0,0,3.522418111562729,43.39999984,0,0
373,0.004600018,0.004600018,6.186492808023012,0.040751806700190955,Infinity,Infinity,21786680,268435455,0,0,3.522418111562729,43.39999984,0,0
374,0.004298985,0.004298985,6.186492808023012,0.040751806700190955,Infinity,Infinity,21786680,268435455,0,0,3.522418111562729,43.39999984,0,0
375,20.574000984430313,20.574000984430313,6.186492808023012,0.040751806700190955,Infinity,Infinity,21786680,268435455,0,0,3.522418111562729,43.39999984,0,0
376,0.016699016094207764,0.016699016094207764,6.186492808023012,0.040751806700190955,Infinity,Infinity,21786680,268435455,0,0,3.522418111562729,43.39999984,0,0
377,0.004701018,0.004701018,6.186844362482576,0.040751806700190955,Infinity,Infinity,21786061,268435455,0,0,3.5223180331289767,43.39999984,0,0
378,0.003399998,0.003399998,6.186844362482576,0.040751806700190955,Infinity,Infinity,21786061,268435455,0,0,3.5223180331289767,43.39999984,0,0
379,0.003199011,0.003199011,6.186844362482576,0.040751806700190955,Infinity,Infinity,21786061,268435455,0,0,3.5223180331289767,43.39999984,0,0
380,0.003299981,0.003299981,6.186844362482576,0.040751806700190955,Infinity,Infinity,21786061,268435455,0,0,3.5223180331289767,43.39999984,0,0
381,0.003300995,0.003300995,6.186844362482576,0.040751806700190955,Infinity,Infinity,21786061,268435455,0,0,3.5223180331289767,43.39999984,0,0
382,0.003300011,0.003300011,6.186844362482576,0.040751806700190955,Infinity,Infinity,21786061,268435455,0,0,3.5223180331289767,43.39999984,0,0
383,20.788699984550476,20.788699984550476,6.186844362482576,0.040751806700190955,Infinity,Infinity,21786061,268435455,0,0,3.5223180331289767,43.39999984,0,0
384,0.00999999,0.00999999,6.186844362482576,0.040751806700190955,Infinity,Infinity,21786061,268435455,0,0,3.5223180331289767,43.39999984,0,0
385,0.003199011,0.003199011,6.187003395344765,0.040751806700190955,Infinity,Infinity,21785781,268435455,0,0,3.522272763,43.39999984,0,0
386,0.002400994,0.002400994,6.187003395344765,0.040751806700190955,Infinity,Infinity,21785781,268435455,0,0,3.522272763,43.39999984,0,0
387,0.002200007,0.002200007,6.187003395344765,0.040751806700190955,Infinity,Infinity,21785781,268435455,0,0,3.522272763,43.39999984,0,0
388,0.005599976,0.005599976,6.187003395344765,0.040751806700190955,Infinity,Infinity,21785781,268435455,0,0,3.522272763,43.39999984,0,0
389,0.002200037,0.002200037,6.187003395344765,0.040751806700190955,Infinity,Infinity,21785781,268435455,0,0,3.522272763,43.39999984,0,0
390,0.001998991,0.001998991,6.187003395344765,0.040751806700190955,Infinity,Infinity,21785781,268435455,0,0,3.522272763,43.39999984,0,0
391,20.602600008249283,20.602600008249283,6.187003395344765,0.040751806700190955,Infinity,Infinity,21785781,268435455,0,0,3.522272763,43.39999984,0,0
392,0.012400984764099121,0.012400984764099121,6.187003395344765,0.040751806700190955,Infinity,Infinity,21785781,268435455,0,0,3.522272763,43.39999984,0,0
393,0.004200011,0.004200011,6.187003395344765,0.040751806700190955,Infinity,Infinity,21785781,268435455,0,0,3.522272763,43.39999984,0,0
394,0.003199995,0.003199995,6.186901159229451,0.040751806700190955,Infinity,Infinity,21785961,268435455,0,0,3.5223018653690814,43.39999984,0,0
395,0.003199995,0.003199995,6.186901159229451,0.040751806700190955,Infinity,Infinity,21785961,268435455,0,0,3.5223018653690814,43.39999984,0,0
396,0.003298998,0.003298998,6.186901159229451,0.040751806700190955,Infinity,Infinity,21785961,268435455,0,0,3.5223018653690814,43.39999984,0,0
397,0.003100008,0.003100008,6.186901159229451,0.040751806700190955,Infinity,Infinity,21785961,268435455,0,0,3.5223018653690814,43.39999984,0,0
398,0.003001004,0.003001004,6.186901159229451,0.040751806700190955,Infinity,Infinity,21785961,268435455,0,0,3.5223018653690814,43.39999984,0,0
399,20.87720000743866,20.87720000743866,6.186901159229451,0.040751806700190955,Infinity,Infinity,21785961,268435455,0,0,3.5223018653690814,43.39999984,0,0
400,0.014099985361099243,0.014099985361099243,6.186901159229451,0.040751806700190955,Infinity,Infinity,21785961,268435455,0,0,3.5223018653690814,43.39999984,0,0
401,0.005399019,0.005399019,6.186901159229451,0.040751806700190955,Infinity,Infinity,21785961,268435455,0,0,3.5223018653690814,43.39999984,0,0
