x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA1_uH,DATA2_uH,DATA3_uH,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
1162908,64085.975299954414,64085.975299954414,6.363560888702976,0.040751806700190955,Infinity,Infinity,21481431,268435455,0,0,3.473066186159849,43.3999998383224,0,0,
1162909,0.011300981044769287,0.011300981044769287,6.363360638280481,0.040751806700190955,Infinity,Infinity,21481769,268435455,0,0,3.4731208331882955,43.3999998383224,0,0,
1162910,0.003399074077606201,0.003399074077606201,6.363360638280481,0.040751806700190955,Infinity,Infinity,21481769,268435455,0,0,3.4731208331882955,43.3999998383224,0,0,
1162911,0.002400994300842285,0.002400994300842285,6.363360638280481,0.040751806700190955,Infinity,Infinity,21481769,268435455,0,0,3.4731208331882955,43.3999998383224,0,0,
1162912,0.0021999478340148926,0.0021999478340148926,6.363360638280481,0.040751806700190955,Infinity,Infinity,21481769,268435455,0,0,3.4731208331882955,43.3999998383224,0,0,
1162913,0.0021990537643432617,0.0021990537643432617,6.363360638280481,0.040751806700190955,Infinity,Infinity,21481769,268435455,0,0,3.4731208331882955,43.3999998383224,0,0,
1162914,20.58570098876953,20.58570098876953,6.363360638280481,0.040751806700190955,Infinity,Infinity,21481769,268435455,0,0,3.4731208331882955,43.3999998383224,0,0,
1162915,0.010298967361450195,0.010298967361450195,6.363360638280481,0.040751806700190955,Infinity,Infinity,21481769,268435455,0,0,3.4731208331882955,43.3999998383224,0,0,
1162916,0.004500985145568848,0.004500985145568848,6.363360638280481,0.040751806700190955,Infinity,Infinity,21481769,268435455,0,0,3.4731208331882955,43.3999998383224,0,0,
1162917,0.0038989782333374023,0.0038989782333374023,6.363821583888519,0.040751806700190955,Infinity,Infinity,21480991,268435455,0,0,3.4729950480163096,43.3999998383224,0,0,
1162918,0.0036010146141052246,0.0036010146141052246,6.363821583888519,0.040751806700190955,Infinity,Infinity,21480991,268435455,0,0,3.4729950480163096,43.3999998383224,0,0,
1162919,0.003699064254760742,0.003699064254760742,6.363821583888519,0.040751806700190955,Infinity,Infinity,21480991,268435455,0,0,3.4729950480163096,43.3999998383224,0,0,
1162920,0.0036009550094604492,0.0036009550094604492,6.363821583888519,0.040751806700190955,Infinity,Infinity,21480991,268435455,0,0,3.4729950480163096,43.3999998383224,0,0,
1162921,0.002299010753631592,0.002299010753631592,6.363821583888519,0.040751806700190955,Infinity,Infinity,21480991,268435455,0,0,3.4729950480163096,43.3999998383224,0,0,
1162922,20.676001012325287,20.676001012325287,6.363821583888519,0.040751806700190955,Infinity,Infinity,21480991,268435455,0,0,3.4729950480163096,43.3999998383224,0,0,
1162923,0.009498953819274902,0.009498953819274902,6.363821583888519,0.040751806700190955,Infinity,Infinity,21480991,268435455,0,0,3.4729950480163096,43.3999998383224,0,0,
1162924,0.00370103120803833,0.00370103120803833,6.363821583888519,0.040751806700190955,Infinity,Infinity,21480991,268435455,0,0,3.4729950480163096,43.3999998383224,0,0,
1162925,0.006699979305267334,0.006699979305267334,6.363821583888519,0.040751806700190955,Infinity,Infinity,21480991,268435455,0,0,3.4729950480163096,43.3999998383224,0,0,
1162926,0.0023000240325927734,0.0023000240325927734,6.363712563953018,0.040751806700190955,Infinity,Infinity,21481175,268435455,0,0,3.473024796694517,43.3999998383224,0,0,
1162927,0.0021989941596984863,0.0021989941596984863,6.363712563953018,0.040751806700190955,Infinity,Infinity,21481175,268435455,0,0,3.473024796694517,43.3999998383224,0,0,
1162928,0.002200007438659668,0.002200007438659668,6.363712563953018,0.040751806700190955,Infinity,Infinity,21481175,268435455,0,0,3.473024796694517,43.3999998383224,0,0,
1162929,0.002101004123687744,0.002101004123687744,6.363712563953018,0.040751806700190955,Infinity,Infinity,21481175,268435455,0,0,3.473024796694517,43.3999998383224,0,0,
1162930,20.89910000562668,20.89910000562668,6.363712563953018,0.040751806700190955,Infinity,Infinity,21481175,268435455,0,0,3.473024796694517,43.3999998383224,0,0,
1162931,0.014999985694885254,0.014999985694885254,6.363712563953018,0.040751806700190955,Infinity,Infinity,21481175,268435455,0,0,3.473024796694517,43.3999998383224,0,0,
1162932,0.005398988723754883,0.005398988723754883,6.363712563953018,0.040751806700190955,Infinity,Infinity,21481175,268435455,0,0,3.473024796694517,43.3999998383224,0,0,
1162933,0.004500985145568848,0.004500985145568848,6.363712563953018,0.040751806700190955,Infinity,Infinity,21481175,268435455,0,0,3.473024796694517,43.3999998383224,0,0,
1162934,0.003699064254760742,0.003699064254760742,6.36329665493104,0.040751806700190955,Infinity,Infinity,21481877,268435455,0,0,3.473138294368982,43.3999998383224,0,0,
1162935,0.0035009384155273438,0.0035009384155273438,6.36329665493104,0.040751806700190955,Infinity,Infinity,21481877,268435455,0,0,3.473138294368982,43.3999998383224,0,0,
1162936,0.0035989880561828613,0.0035989880561828613,6.36329665493104,0.040751806700190955,Infinity,Infinity,21481877,268435455,0,0,3.473138294368982,43.3999998383224,0,0,
1162937,0.0035010576248168945,0.0035010576248168945,6.36329665493104,0.040751806700190955,Infinity,Infinity,21481877,268435455,0,0,3.473138294368982,43.3999998383224,0,0,
1162938,20.470399975776672,20.470399975776672,6.36329665493104,0.040751806700190955,Infinity,Infinity,21481877,268435455,0,0,3.473138294368982,43.3999998383224,0,0,
1162939,0.009400010108947754,0.009400010108947754,6.36329665493104,0.040751806700190955,Infinity,Infinity,21481877,268435455,0,0,3.473138294368982,43.3999998383224,0,0,
