x,evmSampleDeltaMs,logDeltaMs,DATA0_uH,DATA1_uH,DATA2_uH,DATA3_uH,DATA0,DATA1,DATA2,DATA3,DATA0_MHz,DATA1_MHz,DATA2_MHz,DATA3_MHz,
637439,77610.1072999835,77610.1072999835,6.198506917822665,0.040751806700190955,Infinity,Infinity,21765556,268435455,0,0,3.5190028339624404,43.3999998383224,0,0,
637440,0.015799999237060547,0.015799999237060547,6.198506917822665,0.040751806700190955,Infinity,Infinity,21765556,268435455,0,0,3.5190028339624404,43.3999998383224,0,0,
637441,0.005900979042053223,0.005900979042053223,6.198506917822665,0.040751806700190955,Infinity,Infinity,21765556,268435455,0,0,3.5190028339624404,43.3999998383224,0,0,
637442,0.004100024700164795,0.004100024700164795,6.198506917822665,0.040751806700190955,Infinity,Infinity,21765556,268435455,0,0,3.5190028339624404,43.3999998383224,0,0,
637443,0.0034000277519226074,0.0034000277519226074,6.198506917822665,0.040751806700190955,Infinity,Infinity,21765556,268435455,0,0,3.5190028339624404,43.3999998383224,0,0,
637444,0.0033989548683166504,0.0033989548683166504,6.198506917822665,0.040751806700190955,Infinity,Infinity,21765556,268435455,0,0,3.5190028339624404,43.3999998383224,0,0,
637445,0.003500998020172119,0.003500998020172119,6.198583810525917,0.040751806700190955,Infinity,Infinity,21765421,268435455,0,0,3.5189810074865817,43.3999998383224,0,0,
637446,20.604799032211304,20.604799032211304,6.198583810525917,0.040751806700190955,Infinity,Infinity,21765421,268435455,0,0,3.5189810074865817,43.3999998383224,0,0,
637447,0.008599996566772461,0.008599996566772461,6.198583810525917,0.040751806700190955,Infinity,Infinity,21765421,268435455,0,0,3.5189810074865817,43.3999998383224,0,0,
637448,0.0025009512901306152,0.0025009512901306152,6.198583810525917,0.040751806700190955,Infinity,Infinity,21765421,268435455,0,0,3.5189810074865817,43.3999998383224,0,0,
637449,0.0019000768661499023,0.0019000768661499023,6.198583810525917,0.040751806700190955,Infinity,Infinity,21765421,268435455,0,0,3.5189810074865817,43.3999998383224,0,0,
637450,0.0016989707946777344,0.0016989707946777344,6.198583810525917,0.040751806700190955,Infinity,Infinity,21765421,268435455,0,0,3.5189810074865817,43.3999998383224,0,0,
637451,0.001699984073638916,0.001699984073638916,6.198583810525917,0.040751806700190955,Infinity,Infinity,21765421,268435455,0,0,3.5189810074865817,43.3999998383224,0,0,
637452,0.0016010403633117676,0.0016010403633117676,6.198583810525917,0.040751806700190955,Infinity,Infinity,21765421,268435455,0,0,3.5189810074865817,43.3999998383224,0,0,
637453,0.001799941062927246,0.001799941062927246,6.198583810525917,0.040751806700190955,Infinity,Infinity,21765421,268435455,0,0,3.5189810074865817,43.3999998383224,0,0,
637454,20.754200041294098,20.754200041294098,6.1984340134698765,0.040751806700190955,Infinity,Infinity,21765684,268435455,0,0,3.5190235286951066,43.3999998383224,0,0,
637455,0.010899007320404053,0.010899007320404053,6.1984340134698765,0.040751806700190955,Infinity,Infinity,21765684,268435455,0,0,3.5190235286951066,43.3999998383224,0,0,
637456,0.004700958728790283,0.004700958728790283,6.1984340134698765,0.040751806700190955,Infinity,Infinity,21765684,268435455,0,0,3.5190235286951066,43.3999998383224,0,0,
637457,0.0035989880561828613,0.0035989880561828613,6.1984340134698765,0.040751806700190955,Infinity,Infinity,21765684,268435455,0,0,3.5190235286951066,43.3999998383224,0,0,
637458,0.0033010244369506836,0.0033010244369506836,6.1984340134698765,0.040751806700190955,Infinity,Infinity,21765684,268435455,0,0,3.5190235286951066,43.3999998383224,0,0,
637459,0.0029990077018737793,0.0029990077018737793,6.1984340134698765,0.040751806700190955,Infinity,Infinity,21765684,268435455,0,0,3.5190235286951066,43.3999998383224,0,0,
637460,0.003201007843017578,0.003201007843017578,6.1984340134698765,0.040751806700190955,Infinity,Infinity,21765684,268435455,0,0,3.5190235286951066,43.3999998383224,0,0,
637461,0.0033990144729614258,0.0033990144729614258,6.1984340134698765,0.040751806700190955,Infinity,Infinity,21765684,268435455,0,0,3.5190235286951066,43.3999998383224,0,0,
637462,20.79840099811554,20.79840099811554,6.198512613529398,0.040751806700190955,Infinity,Infinity,21765546,268435455,0,0,3.519001217186451,43.3999998383224,0,0,
637463,0.032498955726623535,0.032498955726623535,6.198512613529398,0.040751806700190955,Infinity,Infinity,21765546,268435455,0,0,3.519001217186451,43.3999998383224,0,0,
637464,0.009700000286102295,0.009700000286102295,6.198512613529398,0.040751806700190955,Infinity,Infinity,21765546,268435455,0,0,3.519001217186451,43.3999998383224,0,0,
637465,0.006400048732757568,0.006400048732757568,6.198512613529398,0.040751806700190955,Infinity,Infinity,21765546,268435455,0,0,3.519001217186451,43.3999998383224,0,0,
637466,0.01699995994567871,0.01699995994567871,6.198512613529398,0.040751806700190955,Infinity,Infinity,21765546,268435455,0,0,3.519001217186451,43.3999998383224,0,0,
637467,0.003201007843017578,0.003201007843017578,6.198512613529398,0.040751806700190955,Infinity,Infinity,21765546,268435455,0,0,3.519001217186451,43.3999998383224,0,0,
637468,0.002898991107940674,0.002898991107940674,6.198512613529398,0.040751806700190955,Infinity,Infinity,21765546,268435455,0,0,3.519001217186451,43.3999998383224,0,0,
637469,0.0025010108947753906,0.0025010108947753906,6.198512613529398,0.040751806700190955,Infinity,Infinity,21765546,268435455,0,0,3.519001217186451,43.3999998383224,0,0,
637470,15.21059900522232,15.21059900522232,6.198512613529398,0.040751806700190955,Infinity,Infinity,21765546,268435455,0,0,3.519001217186451,43.3999998383224,0,0,
