=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.10 18:10:44 =~=~=~=~=~=~=~=~=~=~=~=
70511,286,-520,4118,0.68,-1.24,9.86,9.96
1
5423,290,-510,4114,0.69,-1.22,9.85,9.95
145472,308,-520,4118,0.74,-1.24,9.86,9.96
145521,298,-516,4138,0.71,-1.24,9.91,10.01
5423,290,-510,4114,0.69,-1.22,9.85,9.95
145472,308,-520,4118,0.74,-1.24,9.86,9.96
145521,298,-516,4138,0.71,-1.24,9.91,10.01
5423,290,-510,4114,0.69,-1.22,9.85,9.95
145472,308,-520,4118,0.74,-1.24,9.86,9.96
145521,298,-516,4138,0.71,-1.24,9.91,10.01
4,294,-504,4136,0.70,-1.21,9.90,10.00
53,300,-516,4116,0.72,-1.24,9.85,9.96
102,274,-514,4128,0.66,-1.23,9.88,9.98
152,292,-520,4118,0.70,-1.24,9.86,9.96
201,284,-502,4132,0.68,-1.20,9.89,9.99
250,292,-526,4118,0.70,-1.26,9.86,9.96
300,304,-506,4092,0.73,-1.21,9.80,9.90
350,302,-498,4120,0.72,-1.19,9.86,9.96
399,302,-518,4136,0.72,-1.24,9.90,10.01
448,298,-506,4130,0.71,-1.21,9.89,9.99
498,304,-500,4128,0.73,-1.20,9.88,9.98
547,302,-516,4142,0.72,-1.24,9.92,10.02
596,318,-522,4106,0.76,-1.25,9.83,9.94
646,304,-500,4102,0.73,-1.20,9.82,9.92
696,286,-520,4100,0.68,-1.24,9.82,9.92
745,306,-522,4100,0.73,-1.25,9.82,9.92
794,302,-496,4126,0.72,-1.19,9.88,9.98
843,278,-516,4138,0.67,-1.24,9.91,10.01
893,290,-522,4108,0.69,-1.25,9.84,9.94
943,290,-498,4128,0.69,-1.19,9.88,9.98
992,288,-504,4088,0.69,-1.21,9.79,9.89
1041,294,-492,4126,0.70,-1.18,9.88,9.97
1091,284,-502,4120,0.68,-1.20,9.86,9.96
1140,298,-506,4136,0.71,-1.21,9.90,10.00
1189,302,-524,4116,0.72,-1.25,9.85,9.96
1240,304,-510,4130,0.73,-1.22,9.89,9.99
1289,304,-532,4110,0.73,-1.27,9.84,9.95
